,company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,Month,Year
402,ForeScout Technologies,100,10,2023-01-10,services,ca,Calcalistech,Public,1,2023
403,Shopify,1000,10,2022-07-26,ecommerce,canada,WSJ,Public,7,2022
404,Similarweb,120,10,2022-11-16,analytics,newyork,Globes,Public,11,2022
405,iRobot,140,10,2022-08-05,robotics,ma,Geekwire,Public,8,2022
406,Blend,200,10,2022-04-19,fintech,sanfrancisco,HousingWire,Public,4,2022
407,Skillz,70,10,2022-05-20,games,sanfrancisco,TechCrunch,Public,5,2022
408,Beachbody,70,10,2022-01-27,fitness,ca,Club Industry,Public,1,2022
409,Zulily,99,10,2022-05-16,ecommerce,seattle,GeekWire,Public,5,2022
410,Compass,0,10,2023-01-05,proptech,newyork,Bloomberg,Public,1,2023
411,SoundHound,0,10,2023-01-05,ai,ca,SoundHound,Public,1,2023
412,Blue Apron,0,10,2022-12-08,service,newyork,Blue Apron,Public,12,2022
413,Core Scientific,0,10,2022-08-12,cryptocurrency,austin,Blockworks,Public,8,2022
414,Kaltura,75,11,2023-01-04,software,newyork,Globes,Public,1,2023
415,Twilio,800,11,2022-09-14,software,sanfrancisco,TechCrunch,Public,9,2022
416,Zuora,0,11,2022-12-06,infrastructure,ca,MarketWatch,Public,12,2022
417,BuzzFeed,180,12,2022-12-06,news,newyork,Variety,Public,12,2022
418,AppLovin,300,12,2022-06-29,tools,paloalto,Silicon Valley Business Journal,Public,6,2022
419,DesktopMetal,0,12,2022-06-13,printing,massachusetts,MarketWatch,Public,6,2022
420,Meta,11000,13,2022-11-09,media,ca,CNBC,Public,11,2022
421,Integral Ad Science,120,13,2022-12-07,enterprise,newyork,Integral Ad Science,Public,12,2022
422,BigCommerce,0,13,2022-12-15,ecommerce,tx,MarketWatch,Public,12,2022
423,Elastic,0,13,2022-11-30,saas,sanfrancisco,Elastic,Public,11,2022
424,Lending Club,225,14,2023-01-12,banking,sanfrancisco,Bloomberg,Public,1,2023
425,Edgio,95,14,2022-12-13,hosting,az,Edgio,Public,12,2022
426,Life360,0,14,2023-01-12,apps,sanfrancisco,Life360 statement,Public,1,2023
427,Groupon,500,15,2022-08-08,retail,chicago,TechCrunch,Public,8,2022
428,Lyft,760,15,2022-11-03,transportation,sanfrancisco,WSJ,Public,11,2022
429,Baakt,0,15,2022-12-08,cryptocurrency,ga,Baakt,Public,12,2022
430,ThredUp,0,15,2022-08-15,fashion,ca,Retail Dive,Public,8,2022
431,Limeade,0,15,2023-01-11,tech,wa,GeekWire,Public,1,2023
432,GoodRx,140,16,2022-08-31,pharmaceuticals,losangeles,Seeking Alpha,Public,8,2022
433,Astra,0,16,2022-11-08,space,ca,Astra CEO,Public,11,2022
434,Enjoy,400,18,2022-06-30,delivery,paloalto,Bloomberg,Public,6,2022
435,Opendoor,550,18,2022-11-02,proptech,sanfrancisco,Opendoor CEO,Public,11,2022
436,Redfin,1332,19,2022-11-09,proptech,seattle,Bloomberg,Public,11,2022
437,Snap,1280,20,2022-08-31,media,ca,The Verge,Public,8,2022
438,Pluralsight,400,20,2022-12-12,it,ut,Pluralsight,Public,12,2022
439,Metromile,60,20,2022-07-29,transportation,sanfrancisco,Crunchbase,Public,7,2022
440,GoHealth,800,20,2022-08-11,insurance,chicago,Chicago Sun Times,Public,8,2022
441,Sezzle,0,20,2022-03-10,fintech,minneapolis,Reuters,Public,3,2022
442,Pagaya,0,20,2023-01-18,ai,newyork,Reuters,Public,1,2023
443,2U,0,20,2022-08-01,edtech,md,Inside Higher Ed,Public,8,2022
444,Leafly,56,21,2022-10-18,cannabis,seattle,Leafly,Public,10,2022
445,Sonder,0,21,2022-06-10,hospitality,sanfrancisco,MarketWatch,Public,6,2022
446,Bird,138,23,2022-06-07,transporation,santamonica,TechCrunch,Public,6,2022
447,Rent the Runway,0,24,2022-09-12,retail,newyork,Wall Street Journal,Public,9,2022
448,TuSimple,350,25,2022-12-21,transportation,sandiego,TechCrunch,Public,12,2022
449,Qualtrics,0,25,2023-01-11,software,ut,MarketWatch,Public,1,2023
450,PayPal,83,27,2022-05-23,fintech,sanjose,The Information,Public,5,2022
451,Blend,0,28,2023-01-10,proptech,sanfrancisco,Inman,Public,1,2023
452,Juul,400,30,2022-11-10,pens,sanfrancisco,CNBC,Public,11,2022
453,Akili Interactive Labs,46,30,2023-01-12,care,boston,Behavioral Health Business,Public,1,2023
454,Robinhood,1013,33,2022-08-02,fintech,menlopark,Robinhood,Public,8,2022
455,Playtika,250,33,2022-05-31,gaming,telaviv,Globes,Public,5,2022
456,Vroom,647,33,2022-08-08,ecommerce,newyork,Automotive News,Public,8,2022
457,Stitch Fix,0,35,2023-01-05,fashion,sanfrancisco,CNBC,Public,1,2023
458,Latch,115,37,2022-08-02,proptech,ny,Latch,Public,8,2022
459,Sema4,750,39,2022-11-14,care,ct,MarketWatch,Public,11,2022
460,Root Insurance,467,40,2022-11-09,insurtech,columbus,Columbus Dispatch,Public,11,2022
461,Coinbase,2110,43,2023-01-10,crypto,sanfrancisco,CNBC,Public,1,2023
462,Volta Charging,0,54,2022-10-21,vehicles,sanfrancisco,Volta,Public,10,2022
463,Twitter,3740,70,2023-01-05,media,sanfrancisco,The Information,Public,1,2023
464,Starry,0,74,2023-01-18,hardware,boston,SEC filings,Public,1,2023
465,RingCentral,80,0,2023-01-17,software,ca,Barron's,Public,1,2023
466,Carvana,4000,0,2023-01-13,ecommerce,tempe,WSJ,Public,1,2023
467,Adobe,100,0,2022-12-06,saas,ca,Bloomberg,Public,12,2022
468,Invitae,1000,0,2022-07-18,biotech,sanfrancisco,GenomeWeb,Public,7,2022
469,Microsoft,10000,0,2023-01-18,software,seattle,Microsoft,Public,1,2023
470,Alphabet,12000,0,2023-01-20,services,ca,CNBC,Public,1,2023
471,Qualcomm,153,0,2022-12-22,wireless,sandiego,San Diego Union-Tribune,Public,12,2022
472,Okta,24,0,2022-08-26,systems,sanfrancisco,Unleash,Public,8,2022
473,Beyond Meat,240,0,2022-10-14,foodtech,ca,CNBC,Public,10,2022
474,WeWork,300,0,2023-01-19,proptech,newyork,WeWork,Public,1,2023
475,Peloton,4084,0,2022-10-06,fitness,newyork,CNBC,Public,10,2022
476,UiPath,451,0,2022-11-15,intelligence,newyork,MarketWatch,Public,11,2022
477,Netflix,480,0,2022-09-14,media/entertainment,losgatos,Deadline,Public,9,2022
478,Cue,558,0,2023-01-05,care,sandiego,360dx,Public,1,2023
479,Warby Parker,63,0,2022-08-08,fashion,newyorkcity,Insider,Public,8,2022
480,HashiCorp,69,0,2023-01-11,infrastructure,sanfrancisco,Crunchbase News Reporting,Public,1,2023
481,Quanergy Systems,72,0,2022-12-14,vehicles,ca,Silicon Valley Business Journal,Public,12,2022
482,Doma,825,0,2022-12-06,learning,sanfrancsico,Doma,Public,12,2022
483,Wayfair,870,0,2022-08-19,retail,boston,Boston Globe,Public,8,2022
484,Salesforce,9090,0,2023-01-04,analytics,sanfrancisco,New York Times,Public,1,2023
485,Oracle,0,0,2022-08-01,software,austin,The Information,Public,8,2022
486,LivePerson,0,0,2022-09-15,service,newyork,LinkedIn,Public,9,2022
487,Skillz,0,0,2022-08-29,gaming,sanfrancisco,Seeking Alpha,Public,8,2022
488,Blueboard,0,0,2022-11-03,software,sanfrancisco,LinkedIn reports,Private,11,2022
